rank,utility_tier,name,action,reason,custom_protected,optimization_llm_protected,provenance,path,archived_path,source
132,1,neon-postgres:neon-postgres-egress-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/neon/neon-postgres/8370e740b4705a79d104b24dd29b3e33c8688378/skills/neon-postgres-egress-optimizer/SKILL.md,,
133,1,neon-postgres:neon-postgres-egress-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/plugins-cli/neon-postgres/1.1.2/skills/neon-postgres-egress-optimizer/SKILL.md,,
134,1,okta-incident-response,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/misc-catch-all/references/okta-incident-response/SKILL.md,,
135,1,openai-docs,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.codex/skills/.system/openai-docs/SKILL.md,,
136,1,playground,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/playground/SKILL.md,,~/.claude/skills/gemini/claude-plugins-official/plugins/playground/skills/playground/SKILL.md
137,1,plugin-dev:agent-development,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/plugin-dev/local/skills/agent-development/SKILL.md,,
138,1,plugin-dev:hook-development,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/plugin-dev/local/skills/hook-development/SKILL.md,,
139,1,prompt-cost-estimator,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/prompt-cost-estimator/SKILL.md,,~/.claude/skills/prompt-cost-estimator/SKILL.md
140,1,prompt-deep-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/prompt-deep-optimizer/SKILL.md,,~/.claude/skills/prompt-deep-optimizer/SKILL.md
141,1,prompt-helper-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/prompt-helper-optimizer/SKILL.md,,~/.claude/skills/prompt-helper-optimizer/SKILL.md
142,1,rag-prompt-injection-defense,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/rag-prompt-injection-defense/SKILL.md,,~/.claude/skills/rag-prompt-injection-defense/SKILL.md
143,1,reactome-database,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/reactome-database/SKILL.md,,~/.claude/skills/reactome_database/SKILL.md
144,1,repo-bootstrapper,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/repo-bootstrapper/SKILL.md,,~/.claude/skills/repo-bootstrapper/SKILL.md
145,1,review-skill:review-skill,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/mongodb-internal/review-skill/local/skills/review-skill/SKILL.md,,
146,1,security-review,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/security-review/SKILL.md,,~/.claude/skills/security-review/SKILL.md
147,1,service-industry-resume-and-interview,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/service-industry-resume-and-interview/SKILL.md,,~/.claude/skills/service-industry-resume-and-interview/SKILL.md
148,1,session-report:session-report,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/session-report/local/skills/session-report/SKILL.md,,
149,1,skill-creator:skill-creator,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/skill-creator/local/skills/skill-creator/SKILL.md,,
150,1,skill-lookup,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/skill-lookup/SKILL.md,,~/.claude/skills/skill-lookup/SKILL.md
151,1,skill-optimizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/skill-optimizer/SKILL.md,,~/.claude/skills/skill-optimizer/SKILL.md
152,1,skill-refresher,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/skill-refresher/SKILL.md,,~/.claude/skills/skill-refresher/SKILL.md
153,1,skill-tree-architect,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/skill-tree-architect/SKILL.md,,~/.claude/skills/skill-tree-architect/SKILL.md
154,1,slack:slack-api,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/slack/1.2.0/skills/slack-api/SKILL.md,,
155,1,solve-case,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/solve-case/SKILL.md,,~/.claude/skills/solve-case/SKILL.md
156,1,speech,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.codex/skills/speech/SKILL.md,,
157,1,splunk-platform-spl,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/splunk-platform-spl/SKILL.md,,~/.claude/skills/splunk-platform-spl/SKILL.md
158,1,stripe:stripe-projects,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.codex/plugins/cache/claude-plugins-official/stripe/0.6.4/skills/stripe-projects/SKILL.md,,
159,1,tam-operations,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/tam-operations/SKILL.md,,~/.claude/skills/tam-operations/SKILL.md
160,1,technical-instruction,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/technical-instruction/SKILL.md,,~/.claude/skills/technical-instruction/SKILL.md
161,1,thinking-time-local-code-gen,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/misc-catch-all/references/thinking-time-local-code-gen/SKILL.md,,
162,1,thinking-time-local-code-gen,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/thinking-time-local-code-gen/SKILL.md,,~/.claude/skills/thinking-time-local-code-gen/SKILL.md
163,1,variant-right-sizer,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,verified external,~/.agents/skills/variant-right-sizer/SKILL.md,,~/.claude/skills/glean/group_2/skills/gemini-plugins-variant-right-sizer/SKILL.md
164,1,web-text-mirror,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/web-text-mirror/SKILL.md,,~/dev/web-text-mirror/SKILL.md
165,2,accidental-data-loss-prevention,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/accidental-data-loss-prevention/SKILL.md,,~/.claude/skills/accidental-data-loss-prevention/SKILL.md
166,2,aws-startup-advisor:tf-best-practices,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/claude-plugins-official/aws-startup-advisor/2.0.0/skills/tf-best-practices/SKILL.md,,
167,2,before-you-code:brainstorming,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/mongodb-internal/before-you-code/1.0.0/brainstorming/skills/brainstorming/SKILL.md,,
168,2,before-you-code:dispatching-parallel-agents,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/mongodb-internal/before-you-code/1.0.0/dispatching-parallel-agents/skills/dispatching-parallel-agents/SKILL.md,,
169,2,before-you-code:writing-plans,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/mongodb-internal/before-you-code/1.0.0/writing-plans/skills/writing-plans/SKILL.md,,
170,2,before-you-merge:receiving-code-review,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/mongodb-internal/before-you-merge/1.0.0/receiving-code-review/skills/receiving-code-review/SKILL.md,,
171,2,before-you-merge:resolve-pr-comments,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/mongodb-internal/before-you-merge/1.0.0/resolve-pr-comments/skills/resolve-pr-comments/SKILL.md,,
172,2,before-you-merge:verification-before-completion,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/mongodb-internal/before-you-merge/1.0.0/verification-before-completion/skills/verification-before-completion/SKILL.md,,
173,2,bf-triage:bf-triage,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/mongodb-internal/bf-triage/local/skills/bf-triage/SKILL.md,,
174,2,bigquery-ai-ml,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/bigquery-ai-ml/SKILL.md,,~/.claude/skills/bigquery-ai-ml/SKILL.md
175,2,browser:control-in-app-browser,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/openai-bundled/browser/26.831.21537/skills/control-in-app-browser/SKILL.md,,
176,2,building-data-apps,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/building-data-apps/SKILL.md,,~/.claude/skills/building-data-apps/SKILL.md
177,2,caveman:cavecrew,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/cavecrew/SKILL.md,,
178,2,caveman:caveman-commit,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman-commit/SKILL.md,,
179,2,caveman:caveman-explore,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman-explore/SKILL.md,,
180,2,caveman:caveman-help,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman-help/SKILL.md,,
181,2,caveman:caveman-manage,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman-manage/SKILL.md,,
182,2,caveman:caveman-review,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/caveman-review/SKILL.md,,
183,2,caveman:investigate-first,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/investigate-first/SKILL.md,,
184,2,caveman:lean-build,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/lean-build/SKILL.md,,
185,2,caveman:migration,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/migration/SKILL.md,,
186,2,caveman:safe-refactor,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/safe-refactor/SKILL.md,,
187,2,caveman:surgical-patch,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/surgical-patch/SKILL.md,,
188,2,caveman:verify-and-stop,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/caveman/caveman/local/skills/verify-and-stop/SKILL.md,,
189,2,check-epic-fixversions,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/check-epic-fixversions/SKILL.md,,~/.claude/skills/glean/group_2/skills/gemini-plugins-check-epic-fixversions/SKILL.md
190,2,chrome-devtools,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,local or unresolved,~/.agents/skills/chrome-devtools/SKILL.md,,~/.claude/skills/chrome-devtools/SKILL.md
191,2,chrome-devtools-mcp:a11y-debugging,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/claude-plugins-official/chrome-devtools-mcp/1.8.0/skills/a11y-debugging/SKILL.md,,
192,2,chrome-devtools-mcp:chrome-devtools,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/claude-plugins-official/chrome-devtools-mcp/1.8.0/skills/chrome-devtools/SKILL.md,,
193,2,chrome-devtools-mcp:chrome-devtools-cli,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/claude-plugins-official/chrome-devtools-mcp/1.8.0/skills/chrome-devtools-cli/SKILL.md,,
194,2,chrome-devtools-mcp:memory-leak-debugging,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/claude-plugins-official/chrome-devtools-mcp/1.8.0/skills/memory-leak-debugging/SKILL.md,,
195,2,chrome-devtools-mcp:troubleshooting,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/claude-plugins-official/chrome-devtools-mcp/1.8.0/skills/troubleshooting/SKILL.md,,
196,2,chrome-extensions,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.agents/skills/chrome-extensions/SKILL.md,,~/.claude/skills/chrome-extensions/SKILL.md
197,2,chrome:control-chrome,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/openai-bundled/chrome/26.831.21537/skills/control-chrome/SKILL.md,,
198,2,claude-md-management:source-command-revise-claude-md,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/claude-plugins-official/claude-md-management/1.0.0/.codex-plugin/migrated-command-skills/source-command-revise-claude-md/SKILL.md,,
199,2,cloudflare,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,local or unresolved,~/.agents/skills/cloudflare/SKILL.md,,~/.codex/claude-migration/backups/20260905T171755711100Z/.agents/skills/cloudflare/SKILL.md
200,2,cloudflare-deploy,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,local or unresolved,~/.codex/skills/cloudflare-deploy/SKILL.md,,
201,2,cloudflare-email-service,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,local or unresolved,~/.agents/skills/cloudflare-email-service/SKILL.md,,~/.codex/claude-migration/backups/20260905T171755711100Z/.agents/skills/cloudflare-email-service/SKILL.md
202,2,cloudflare-platform,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,local or unresolved,~/.agents/skills/cloudflare-platform/SKILL.md,,~/.claude/skills/cloudflare-platform/SKILL.md
203,2,cloudflare:agents-sdk,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/agents-sdk/SKILL.md,,
204,2,cloudflare:cloudflare,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/cloudflare/SKILL.md,,
205,2,cloudflare:cloudflare-email-service,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/cloudflare-email-service/SKILL.md,,
206,2,cloudflare:cloudflare-one,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/cloudflare-one/SKILL.md,,
207,2,cloudflare:cloudflare-one-migrations,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/cloudflare-one-migrations/SKILL.md,,
208,2,cloudflare:durable-objects,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/durable-objects/SKILL.md,,
209,2,cloudflare:nextjs-on-cloudflare,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/nextjs-on-cloudflare/SKILL.md,,
210,2,cloudflare:sandbox-migrate-to-next,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/sandbox-migrate-to-next/SKILL.md,,
211,2,cloudflare:sandbox-next,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/sandbox-next/SKILL.md,,
212,2,cloudflare:sandbox-stable,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/sandbox-stable/SKILL.md,,
213,2,cloudflare:turnstile-spin,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/turnstile-spin/SKILL.md,,
214,2,cloudflare:workers-best-practices,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/workers-best-practices/SKILL.md,,
215,2,cloudflare:wrangler,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/cloudflare/cloudflare/1.0.0/skills/wrangler/SKILL.md,,
216,2,computer-use:computer-use,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/openai-bundled/computer-use/1.0.1000926/skills/computer-use/SKILL.md,,
217,2,copilot-adversarial-review:copilot-adversarial-review,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/mongodb-internal/copilot-adversarial-review/local/skills/copilot-adversarial-review/SKILL.md,,
218,2,cost-reducer:cost-reducer,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/mongodb-internal/cost-reducer/local/skills/cost-reducer/SKILL.md,,
219,2,data-autocleaning,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/data-autocleaning/SKILL.md,,~/.claude/skills/data-autocleaning/SKILL.md
220,2,deep-research,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,local or unresolved,~/.agents/skills/deep-research/SKILL.md,,~/.claude/skills/deep-research/SKILL.md
221,2,devops-infra,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",True,False,local or unresolved,~/.agents/skills/devops-infra/SKILL.md,,~/.claude/skills/devops-infra/SKILL.md
222,2,devops-linux-admin,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",True,False,local or unresolved,~/.agents/skills/devops-linux-admin/SKILL.md,,~/.claude/skills/devops-linux-admin/SKILL.md
223,2,devops-linux-internals,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",True,False,local or unresolved,~/.agents/skills/devops-linux-internals/SKILL.md,,~/.claude/skills/devops-linux-internals/SKILL.md
224,2,devops-observability,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",True,False,local or unresolved,~/.agents/skills/devops-observability/SKILL.md,,~/.claude/skills/devops-observability/SKILL.md
225,2,document-distiller,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,local or unresolved,~/.agents/skills/document-distiller/SKILL.md,,~/.claude/skills/document-distiller/SKILL.md
226,2,documents:documents,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/openai-primary-runtime/documents/26.826.12353/skills/documents/SKILL.md,,
227,2,dsi-performance,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/dsi-performance/SKILL.md,,~/.claude/skills/glean/group_2/skills/gemini-plugins-dsi-performance/SKILL.md
228,2,ecommerce-storefront:storefront-best-practices,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/medusa/ecommerce-storefront/1.0.10/skills/storefront-best-practices/SKILL.md,,
229,2,enforcing-resource-attribution,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/enforcing-resource-attribution/SKILL.md,,~/.claude/skills/enforcing-resource-attribution/SKILL.md
230,2,evergreen-cicd,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/evergreen-cicd/SKILL.md,,~/.claude/skills/glean/group_2/skills/gemini-plugins-evergreen-cicd/SKILL.md
231,2,evergreen-task-debugger,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/evergreen-task-debugger/SKILL.md,,~/.claude/skills/glean/group_2/skills/gemini-plugins-evergreen-task-debugger/SKILL.md
232,2,executing-plans,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/executing-plans/SKILL.md,,~/.claude/skills/glean/group_3/skills/gemini-plugins-executing-plans/SKILL.md
233,2,finishing-a-development-branch,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/finishing-a-development-branch/SKILL.md,,~/.claude/skills/glean/group_2/skills/gemini-plugins-finishing-a-development-branch/SKILL.md
234,2,firebase-ai-logic-basics,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firebase-ai-logic-basics/SKILL.md,,~/.claude/skills/firebase_ai_logic_basics/SKILL.md
235,2,firecrawl-build-interact,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firecrawl-build-interact/SKILL.md,,~/.claude/skills/firecrawl-build-interact/SKILL.md
236,2,firecrawl-build-onboarding,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firecrawl-build-onboarding/SKILL.md,,~/.claude/skills/firecrawl-build-onboarding/SKILL.md
237,2,firecrawl-build-scrape,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firecrawl-build-scrape/SKILL.md,,~/.claude/skills/firecrawl-build-scrape/SKILL.md
238,2,firecrawl-build-search,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firecrawl-build-search/SKILL.md,,~/.claude/skills/firecrawl-build-search/SKILL.md
239,2,firecrawl-competitive-intel,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firecrawl-competitive-intel/SKILL.md,,~/.claude/skills/firecrawl-competitive-intel/SKILL.md
240,2,firecrawl-deep-research,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firecrawl-deep-research/SKILL.md,,~/.claude/skills/firecrawl-deep-research/SKILL.md
241,2,firecrawl-knowledge-ingest,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firecrawl-knowledge-ingest/SKILL.md,,~/.claude/skills/firecrawl-knowledge-ingest/SKILL.md
242,2,firecrawl-market-research,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firecrawl-market-research/SKILL.md,,~/.claude/skills/firecrawl-market-research/SKILL.md
243,2,firecrawl-qa,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firecrawl-qa/SKILL.md,,~/.claude/skills/firecrawl-qa/SKILL.md
244,2,firecrawl-research-papers,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firecrawl-research-papers/SKILL.md,,~/.claude/skills/firecrawl-research-papers/SKILL.md
245,2,firecrawl-website-design-clone,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firecrawl-website-design-clone/SKILL.md,,~/.claude/skills/firecrawl-website-design-clone/SKILL.md
246,2,firecrawl-workflows,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/firecrawl-workflows/SKILL.md,,~/.claude/skills/firecrawl-workflows/SKILL.md
247,2,fix-broken-patches:fix-broken-patches,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/mongodb-internal/fix-broken-patches/8a21b44315d3/skills/fix-broken-patches/SKILL.md,,
248,2,frontend-design,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.agents/skills/frontend-design/SKILL.md,,~/.claude/skills/gemini/claude-plugins-official/plugins/frontend-design/skills/frontend-design/SKILL.md
249,2,ftdc-diagnosis,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/ftdc-diagnosis/SKILL.md,,~/.claude/skills/glean/group_2/skills/gemini-plugins-ftdc-diagnosis/SKILL.md
250,2,ftdc-metric-query,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/ftdc-metric-query/SKILL.md,,~/.claude/skills/glean/group_2/skills/gemini-plugins-ftdc-metric-query/SKILL.md
251,2,gcs-security-assessment,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/gcs-security-assessment/SKILL.md,,~/.claude/skills/gcs-security-assessment/SKILL.md
252,2,gh-fix-ci,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,local or unresolved,~/.codex/skills/gh-fix-ci/SKILL.md,,
253,2,git-workflows:git-workflows,keep,"High practical utility for coding, infrastructure, data, security, or recurring custom workflows",False,False,verified external,~/.codex/plugins/cache/mongodb-internal/git-workflows/local/skills/git-workflows/SKILL.md,,
254,2,go-patterns,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/go-patterns/SKILL.md,,~/.claude/skills/glean/group_3/skills/gemini-plugins-go-patterns/SKILL.md
255,2,gog,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/gog/SKILL.md,,~/.claude/skills/gog/SKILL.md
256,2,graphite-pr-stack,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.agents/skills/graphite-pr-stack/SKILL.md,,~/.claude/skills/glean/group_2/skills/gemini-plugins-graphite-pr-stack/SKILL.md
257,2,hookify:source-command-configure,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/claude-plugins-official/hookify/local/.codex-plugin/migrated-command-skills/source-command-configure/SKILL.md,,
258,2,hookify:source-command-list,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/claude-plugins-official/hookify/local/.codex-plugin/migrated-command-skills/source-command-list/SKILL.md,,
259,2,hookify:writing-hookify-rules,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/claude-plugins-official/hookify/local/skills/writing-rules/SKILL.md,,
260,2,huggingface-skills:hf-cli,keep,"High-value reusable developer, research, document, business integration, or MongoDB support capability",False,False,verified external,~/.codex/plugins/cache/claude-plugins-official/huggingface-skills/1.0.27/skills/hf-cli/SKILL.md,,
